"","Feature","Gain","Cover","Frequency"
"1","Shewanella algae",0.735848572050726,0.15103836528484,0.0588235294117647
"2","Blautia producta",0.220845192151142,0.00189690063339578,0.0294117647058824
"3","Rhodococcus rhodochrous",0.0259890096429828,0.076120180862902,0.0294117647058824
"4","[Clostridium] propionicum",0.012942442543835,0.00135224599608412,0.0294117647058824
"5","Haemophilus paraphrohaemolyticus",0.00134472247058168,0.00120199644096366,0.0294117647058824
"6","Pseudomonas fluorescens",0.00133356973934871,0.156963832114903,0.176470588235294
"7","Sphaerochaeta pleomorpha",0.00102974422627493,0.076120180862902,0.0294117647058824
"8","Shewanella fodinae",0.000645701784689255,0.221655656191455,0.0882352941176471
"9","Helicobacter pylori",2.09377459093232e-05,0.0055122805534818,0.0882352941176471
"10","Prevotella copri",4.06936239101835e-08,0.00122077763535372,0.0294117647058824
"11","Bacillus thuringiensis",3.50366029765893e-08,0.00349330215655065,0.0588235294117647
"12","Bacteroides uniformis",2.39305631804617e-08,0.0199738002338259,0.0882352941176471
"13","Streptococcus oralis",7.98360673740359e-09,0.130942487287479,0.147058823529412
"14","Iamia majanohamensis",1.12796199410192e-13,0.0735941102174393,0.0294117647058824
"15","Rothia mucilaginosa",2.63949114389263e-18,0.0738899140290827,0.0441176470588235
"16","Barnesiella viscericola",1.64326296896039e-19,0.00455443963958888,0.0294117647058824
"17","Parabacteroides distasonis",1.02703935560025e-20,0.000469529859751431,0.0147058823529412
